"","celltype","batch_digest","batch_sort","batch_chromatography","batch_MS"
"i4","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BO"
"i5","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94BO"
"i7","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BO"
"i10","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BO"
"i11","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BO"
"i20","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BF"
"i22","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BF"
"i24","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BF"
"i25","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BF"
"i36","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BP"
"i37","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BP"
"i39","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BP"
"i41","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94BP"
"i42","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BP"
"i43","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BP"
"i52","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BL"
"i57","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BL"
"i58","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94BL"
"i59","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94BL"
"i68","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94BM"
"i70","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94BM"
"i72","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BM"
"i73","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BM"
"i74","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BM"
"i75","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BM"
"i85","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BK"
"i86","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BK"
"i87","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94BK"
"i88","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BK"
"i89","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BK"
"i90","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BK"
"i100","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BG"
"i101","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BG"
"i103","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BG"
"i104","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BG"
"i105","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BG"
"i106","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BG"
"i116","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BH"
